id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
538,"World War 3","https://www.freetogame.com/g/538/thumbnail.jpg","A realistic multiplayer tactical FPS.","https://www.freetogame.com/open/world-war-3",Shooter,"PC (Windows)","Wishlist Games, The 4 Winds Entertainment","The Farm 51",2018-10-19,"https://www.freetogame.com/world-war-3"
60,Brink,"https://www.freetogame.com/g/60/thumbnail.jpg","A free-to-play first-person-shoot developed by Splash 
Damage and published by Bethesda Softworks. ","https://www.freetogame.com/open/brink",Shooter,"PC (Windows)","Bethesda Softworks","Splash Damage",2011-05-09,"https://www.freetogame.com/brink"
28,Spacelords,"https://www.freetogame.com/g/28/thumbnail.jpg","A free-to-play 4v1 sci-fi shooter. ","https://www.freetogame.com/open/spacelords",Shooter,"PC (Windows)"," MercurySteam Entertainment",MercurySteam,2018-09-22,"https://www.freetogame.com/spacelords"
57,Fortnite,"https://www.freetogame.com/g/57/thumbnail.jpg","A free-to-play, standalone mode of Epic Game's Fortnite. ","https://www.freetogame.com/open/fortnite-battle-royale",Shooter,"PC (Windows)","Epic Games","Epic Games",2017-09-26,"https://www.freetogame.com/fortnite-battle-royale"
210,"Fistful of Frags","https://www.freetogame.com/g/210/thumbnail.jpg","A first person shooter game set in the Wild West! ","https://www.freetogame.com/open/fistful-of-frags",Shooter,"PC (Windows)","Fistful of Frags Team","Fistful of Frags Team",2014-05-10,"https://www.freetogame.com/fistful-of-frags"
280,WolfTeam,"https://www.freetogame.com/g/280/thumbnail.jpg","A free to play MMOFPS with a twist.","https://www.freetogame.com/open/wolfteam",Shooter,"PC (Windows)","Aeria Games",Softnyx,2009-07-09,"https://www.freetogame.com/wolfteam"
544,"Galahad 3093","https://www.freetogame.com/g/544/thumbnail.jpg","A 12v12 team shooter featuring mechs based on Arthurian legend.","https://www.freetogame.com/open/galahad-3093",Shooter,"PC (Windows)","Simutronics Corp.","Simutronics Corp.",2022-09-01,"https://www.freetogame.com/galahad-3093"
159,"Codename CURE","https://www.freetogame.com/g/159/thumbnail.jpg","A free to play 3D MMOFPS featuring cooperative play, and objective-based missions.","https://www.freetogame.com/open/codename-cure",Shooter,"PC (Windows)",Hoobalugalar_X,Hoobalugalar_X,2015-07-18,"https://www.freetogame.com/codename-cure"
21,"Destiny 2","https://www.freetogame.com/g/21/thumbnail.jpg","A free-to-play multiplayer Sci-Fi MMOFPS from Bungie.","https://www.freetogame.com/open/destiny-2",Shooter,"PC (Windows)",Bungie,Bungie,2019-10-01,"https://www.freetogame.com/destiny-2"
180,"Gear Up","https://www.freetogame.com/g/180/thumbnail.jpg","Control your unique tank or robot in multiplayer arcade action!","https://www.freetogame.com/open/gear-up",Shooter,"PC (Windows)","Doctor Entertainment","Doctor Entertainment",2015-01-29,"https://www.freetogame.com/gear-up"
20,"Splitgate: Arena Warfare","https://www.freetogame.com/g/20/thumbnail.jpg","A free-to-play multiplayer shooter developed and published by 1047 games. ","https://www.freetogame.com/open/splitgate-arena-warfare",Shooter,"PC (Windows)","1047 Games","1047 Games",2019-05-22,"https://www.freetogame.com/splitgate-arena-warfare"
452,"Call Of Duty: Warzone","https://www.freetogame.com/g/452/thumbnail.jpg","A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.","https://www.freetogame.com/open/call-of-duty-warzone",Shooter,"PC (Windows)",Activision,"Infinity Ward",2020-03-10,"https://www.freetogame.com/call-of-duty-warzone"
175,Survarium,"https://www.freetogame.com/g/175/thumbnail.jpg","A free to play post-apocalyptic online FPS game.","https://www.freetogame.com/open/survarium",Shooter,"PC (Windows)","Vostok Games","Vostok Games",2015-04-02,"https://www.freetogame.com/survarium"
583,"The First Descendant","https://www.freetogame.com/g/583/thumbnail.jpg","A free-to-play third-person co-op looter shooter developed and published by Nexon.","https://www.freetogame.com/open/the-first-descendant",Shooter,"PC (Windows)",Nexon,"Nexon Games Co., Ltd.",2024-07-02,"https://www.freetogame.com/the-first-descendant"
85,"Infestation: The New Z","https://www.freetogame.com/g/85/thumbnail.jpg","A re-work of the open world zombie shooter game Infestation: Survivor Stories (or as it was formerly known ""The War Z"").","https://www.freetogame.com/open/infestation-new-z",Shooter,"PC (Windows)","OP Productions LLC","Fredaikis AB",2016-11-22,"https://www.freetogame.com/infestation-new-z"
70,"Alien Swarm: Reactive Drop","https://www.freetogame.com/g/70/thumbnail.jpg","A free-to-play top-down tactical co-op expansion on the Alien swarm game and Source SDK.","https://www.freetogame.com/open/alien-swarm-reactive-drop",Shooter,"PC (Windows)","Reactive Drop","Reactive Drop",2017-04-20,"https://www.freetogame.com/alien-swarm-reactive-drop"
43,"Z1 Battle Royale","https://www.freetogame.com/g/43/thumbnail.jpg","A highly competitive free-to-play battle royale shooter.","https://www.freetogame.com/open/z1-battle-royale",Shooter,"PC (Windows)","Daybreak Game Company","Daybreak Game Company",2018-02-28,"https://www.freetogame.com/z1-battle-royale"
222,"MechWarrior Online","https://www.freetogame.com/g/222/thumbnail.jpg","A free-to-play PvP game that's a faithful adaptation of the popular MechWarrior strategy board games.","https://www.freetogame.com/open/mechwarrior-online",Shooter,"PC (Windows)","Piranha Games Inc.","Piranha Games Inc.",2015-12-10,"https://www.freetogame.com/mechwarrior-online"
512,"Sherwood Extreme","https://www.freetogame.com/g/512/thumbnail.jpg","High action arcade shooter Sherwood Extreme sends players on a mission to save the kingdom!","https://www.freetogame.com/open/sherwood-extreme",Shooter,"PC (Windows)","CAGE Studios","CAGE Studios",2021-05-12,"https://www.freetogame.com/sherwood-extreme"
